Data from H1_RamanShift_15-14-52-700.txt Node
Date: Wed Sep 13 15:14:52 BRT 2023
User: User
Spectrometer: QEP04079
Trigger mode: 4
Integration Time (sec): 1,000000E0
Scans to average: 3
Electric dark correction enabled: false
Nonlinearity correction enabled: false
Boxcar width: 0
XAxis mode: Raman Shifts
Number of Pixels in Spectrum: 1044
>>>>>Begin Spectral Data<<<<<
-16,778	-4,67
-12,919	-1,67
-9,063	1,33
-5,209	-4,33
-1,359	9,33
2,488	3,67
6,332	5,33
10,173	3,33
14,012	5,33
17,847	4,67
21,679	8,67
25,508	1
29,335	9
33,158	1,33
36,979	2
40,796	9
44,611	5,67
48,423	4,67
52,231	8,33
56,037	7
59,84	5,33
63,64	4,33
67,437	5
71,231	6
75,022	5,33
78,81	10
82,596	6,67
86,378	9,67
90,158	12
93,934	14,33
97,708	15
101,479	15,33
105,247	15,33
109,012	16,67
112,774	19,33
116,533	21,33
120,289	31,33
124,043	34,33
127,793	50
131,541	85,67
135,286	147,33
139,028	254,33
142,767	440,33
146,503	693,33
150,237	1008
153,967	1307,33
157,695	1593,33
161,42	1798
165,142	1939,33
168,861	2027,67
172,577	2062
176,291	2114,33
180,002	2118,33
183,709	2134
187,414	2125
191,117	2114,67
194,816	2109,67
198,512	2119,33
202,206	2112,33
205,897	2125,67
209,585	2098,33
213,27	2095
216,953	2110,33
220,633	2100
224,309	2109,67
227,984	2074
231,655	2107
235,323	2100,67
238,989	2086,33
242,652	2139,33
246,312	2128,33
249,97	2141
253,624	2124,33
257,276	2143,67
260,925	2133
264,571	2170,67
268,215	2143,67
271,856	2145
275,494	2117,33
279,129	2171,67
282,762	2157,67
286,391	2141,67
290,018	2140,67
293,643	2146
297,264	2161
300,883	2129,33
304,499	2147,33
308,112	2145
311,723	2134
315,331	2134,67
318,936	2154,67
322,538	2164
326,138	2159
329,735	2125
333,33	2175
336,921	2147,67
340,51	2155,67
344,096	2169,33
347,68	2178,67
351,261	2161,67
354,839	2156
358,414	2128,33
361,987	2128
365,557	2122,33
369,124	2085
372,689	2131
376,251	2099,33
379,81	2088
383,367	2102,33
386,921	2087,67
390,472	2104,33
394,021	2097,33
397,567	2107,67
401,11	2109,67
404,651	2140,67
408,189	2122
411,724	2105,33
415,257	2066,33
418,787	2031,67
422,315	2037,33
425,839	2049
429,362	2089
432,881	2119,67
436,398	2187,67
439,912	2200
443,424	2223,33
446,933	2205,33
450,439	2181,33
453,943	2158,67
457,444	2136,33
460,943	2116,67
464,439	2110,67
467,932	2066
471,423	2080
474,911	2100
478,397	2093,33
481,88	2143,33
485,36	2155,33
488,838	2178
492,313	2208
495,786	2301,33
499,256	2505
502,723	2711
506,188	2941
